 skateboard-16 (ID=124)        , 81.65             ,
 skateboard-19 (ID=125)        , 77.82             ,
 skateboard-3 (ID=126)         , 89.80             ,
 skateboard-8 (ID=127)         , 59.80             ,
 tank-14 (ID=128)              , 71.16             ,
 tank-16 (ID=129)              , 86.79             ,
 tank-6 (ID=130)               , 91.33             ,
 tank-9 (ID=131)               , 72.41             ,
 tiger-12 (ID=132)             , 91.82             ,
 tiger-18 (ID=133)             , 89.14             ,
 tiger-4 (ID=134)              , 43.05             ,
 tiger-6 (ID=135)              , 73.30             ,
 train-1 (ID=136)              , 35.14             ,
 train-11 (ID=137)             , 85.55             ,
 train-20 (ID=138)             , 85.78             ,
 train-7 (ID=139)              , 53.65             ,
 truck-16 (ID=140)             , 70.76             ,
 truck-3 (ID=141)              , 78.85             ,
 truck-6 (ID=142)              , 90.86             ,
 truck-7 (ID=143)              , 80.10             ,
 turtle-16 (ID=144)            , 86.62             ,
 turtle-5 (ID=145)             , 90.50             ,
 turtle-8 (ID=146)             , 25.66             ,
 turtle-9 (ID=147)             , 76.15             ,
 umbrella-17 (ID=148)          , 88.48             ,
 umbrella-19 (ID=149)          , 55.93             ,
 umbrella-2 (ID=150)           , 88.56             ,
 umbrella-9 (ID=151)           , 3.30              ,
 yoyo-15 (ID=152)              , 86.50             ,
 yoyo-17 (ID=153)              , 53.15             ,
 yoyo-19 (ID=154)              , 70.36             ,
 yoyo-7 (ID=155)               , 41.83             ,
 zebra-10 (ID=156)             , 41.59             ,
 zebra-14 (ID=157)             , 65.67             ,
 zebra-16 (ID=158)             , 41.76             ,
 zebra-17 (ID=159)             , 91.75             ,
 elephant-1 (ID=160)           , 35.32             ,
 elephant-12 (ID=161)          , 66.35             ,
 elephant-16 (ID=162)          , 29.24             ,
 elephant-18 (ID=163)          , 91.88             ,
 goldfish-3 (ID=164)           , 62.50             ,
 goldfish-7 (ID=165)           , 23.81             ,
 goldfish-8 (ID=166)           , 45.15             ,
 goldfish-10 (ID=167)          , 86.32             ,
 hat-1 (ID=168)                , 11.18             ,
 hat-2 (ID=169)                , 54.32             ,
 hat-5 (ID=170)                , 32.80             ,
 hat-18 (ID=171)               , 92.48             ,
 kite-4 (ID=172)               , 81.64             ,
 kite-6 (ID=173)               , 71.57             ,
 kite-10 (ID=174)              , 33.80             ,
 kite-15 (ID=175)              , 57.70             ,
 motorcycle-1 (ID=176)         , 83.87             ,
 motorcycle-3 (ID=177)         , 80.48             ,
 motorcycle-9 (ID=178)         , 87.10             ,
 motorcycle-18 (ID=179)        , 79.26             ,
 mouse-1 (ID=180)              , 70.18             ,
 mouse-8 (ID=181)              , 79.64             ,
 mouse-9 (ID=182)              , 82.71             ,
 mouse-17 (ID=183)             , 86.79             ,
 flag-3 (ID=184)               , 86.40             ,
 flag-9 (ID=185)               , 94.86             ,
 flag-5 (ID=186)               , 93.14             ,
 flag-2 (ID=187)               , 89.82             ,
 frog-3 (ID=188)               , 90.96             ,
 frog-4 (ID=189)               , 85.48             ,
 frog-20 (ID=190)              , 79.27             ,
 frog-9 (ID=191)               , 84.49             ,
 gametarget-1 (ID=192)         , 82.69             ,
 gametarget-2 (ID=193)         , 64.24             ,
 gametarget-7 (ID=194)         , 76.09             ,
 gametarget-13 (ID=195)        , 68.38             ,
 hand-2 (ID=196)               , 89.51             ,
 hand-3 (ID=197)               , 47.56             ,
 hand-9 (ID=198)               , 56.43             ,
 hand-16 (ID=199)              , 90.26             ,
 helmet-5 (ID=200)             , 74.98             ,
 helmet-11 (ID=201)            , 79.05             ,
 helmet-19 (ID=202)            , 71.60             ,
 helmet-13 (ID=203)            , 84.29             ,
 licenseplate-6 (ID=204)       , 89.61             ,
 licenseplate-12 (ID=205)      , 67.22             ,
 licenseplate-13 (ID=206)      , 79.28             ,
 licenseplate-15 (ID=207)      , 89.76             ,
 electricfan-1 (ID=208)        , 95.16             ,
 electricfan-10 (ID=209)       , 95.73             ,
 electricfan-18 (ID=210)       , 76.44             ,
 electricfan-20 (ID=211)       , 88.37             ,
 chameleon-3 (ID=212)          , 36.53             ,
 chameleon-6 (ID=213)          , 67.97             ,
 chameleon-11 (ID=214)         , 84.99             ,
 chameleon-20 (ID=215)         , 48.38             ,
 crocodile-3 (ID=216)          , 68.36             ,
 crocodile-4 (ID=217)          , 91.05             ,
 crocodile-10 (ID=218)         , 74.30             ,
 crocodile-14 (ID=219)         , 90.68             ,
 gecko-1 (ID=220)              , 65.39             ,
 gecko-5 (ID=221)              , 77.15             ,
 gecko-16 (ID=222)             , 42.99             ,
 gecko-19 (ID=223)             , 91.20             ,
